Autor normalizado,Nombre firma,Abreviatura,Nombre completo,Rol principal,Rol adquirido,Género,Comunidad,Subcomunidad,Año de nacimiento,Año de muerte,Lugar de nacimiento,Lugar de muerte,Formación,Fuente de institución,Profesión,Grado,Adscripción,Cargo,Afiliación,Reconocido,Movilidad,Linaje científico,Linaje descendiente,Epónimo recibido,Otorgado por,Epónimo asignado,Otorgado a,Aportación / Descubrimiento,Notas,Trabajo
José de Acosta: https://www.wikidata.org/wiki/Q555476,"Acosta, José de, 1540-1600.: https://viaf.org/viaf/2465365",,Joseph de Acosta Porres,misionero: https://www.wikidata.org/wiki/Q219477,"botánico: https://www.wikidata.org/wiki/Q2374149 , historiador: https://www.wikidata.org/wiki/Q201788 , teólogo: https://www.wikidata.org/wiki/Q1234713 , escritor: https://www.wikidata.org/wiki/Q36180 , sacerdote: https://www.wikidata.org/wiki/Q42603",,botánica: https://www.wikidata.org/wiki/Q441,,1540,1600,"Medina del campo, España","Salamanca, España",Universidad Complutense de Madrid: https://www.wikidata.org/wiki/Q219694,S,"profesor universitario: https://www.wikidata.org/wiki/Q1622272 , sacerdote: https://www.wikidata.org/wiki/Q42603",catedrático,,,,,,,,,,,,,,Historia natural y moral de las Indias
Johann Friedrich Adam: https://www.wikidata.org/wiki/Q62840,John Adams,J. Adams,John Adams,abogado: https://www.wikidata.org/wiki/Q40348,"político: https://www.wikidata.org/wiki/Q82955 , botánico: https://www.wikidata.org/wiki/Q2374149",,botánica: https://www.wikidata.org/wiki/Q441,Aloe: https://www.wikidata.org/wiki/Q127134,1735,1826,Massachusetts: https://viaf.org/viaf/130169058,"Provincia de la bahía de Massachusetts, Reino Unido",Universidad Harvard: https://www.wikidata.org/wiki/Q13371,,abogado: https://www.wikidata.org/wiki/Q40348,licenciado,gobierno estatal de Estados Unidos: https://www.wikidata.org/wiki/Q7603694,"Embajador de Estados Unidos en Reino Unido , presidente de los Estados Unidos: https://www.wikidata.org/wiki/Q11696 , Secretario de la Armada en Estados Unidos , Delegado en el Congreso Continental","Sociedad Filosófica Estadounidense: https://www.wikidata.org/wiki/Q466089 , Academia Estadounidense de las Artes y las Ciencias: https://www.wikidata.org/wiki/Q463303",Academia Estadounidense de las Artes y las Ciencias: https://www.wikidata.org/wiki/Q463303,"América del Norte: https://www.wikidata.org/wiki/Q49 , Reino Unido: https://www.wikidata.org/wiki/Q145",,John Quincy Adams: https://www.wikidata.org/wiki/Q1701484,,,,,,,A short account of the american aloe
Carl Adolph Agardh: https://www.wikidata.org/wiki/Q345654,,,,,,,botánica: https://www.wikidata.org/wiki/Q441,,,,,,,,,,,,,,,,,,,,,,,
William Aiton: https://www.wikidata.org/wiki/Q465898,"Aiton,William",Aiton,William Aiton,jardinero: https://www.wikidata.org/wiki/Q758780,botánico: https://www.wikidata.org/wiki/Q2374149,,botánica: https://www.wikidata.org/wiki/Q441,Real Jardín Botánico de Kew: https://www.wikidata.org/wiki/Q188617,1731,1793,"Escocia, Reino Unido","Kew, Inglaterra",,,botánico: https://www.wikidata.org/wiki/Q2374149,,Real Jardín Botánico de Kew,,,,Europa: https://www.wikidata.org/wiki/Q218640,Philip Miller: https://www.wikidata.org/wiki/Q312678,William Towsand Aiton,"Aitonia, Furcraea aitonii, Clivia aitonii, Dryopteris aitoniana, Erica aitoniana, Serruria aitonii, Empleurum aitonii","Carl Peter Thunberg, Jacobi, Rodolfo Emilio Giuseppe Pichi Sermolli, Conrad Loddiges, Robert Brown, Johann Friedrich Gmelin",,,Hortus Kewensis: Catálogo de plantas,,Hortus Kewensis or a catalogue of the plants cultivated in the royal botanic garden at kew
Lucas Alamán Gonzalez: https://www.wikidata.org/wiki/Q507298,Lucas Alamán: https://viaf.org/viaf/62295702,Alamán,Lucas Alamán Gonzalez: https://www.wikidata.org/wiki/Q507298,"empresario: https://www.wikidata.org/wiki/Q43845 , naturalista: https://www.wikidata.org/wiki/Q18805 , historiador: https://www.wikidata.org/wiki/Q201788 , escritor: https://www.wikidata.org/wiki/Q36180 , político: https://www.wikidata.org/wiki/Q82955","botánico: https://www.wikidata.org/wiki/Q2374149 , fundador: https://www.wikidata.org/wiki/Q4479442",,botánica: https://www.wikidata.org/wiki/Q441,Polylepis australis: https://www.wikidata.org/wiki/Q541294,1792,1853,Guanajuato (Mexico): https://viaf.org/viaf/124348288,Mexico City (Mexico): https://viaf.org/viaf/316429178,"Real Seminario de Minería: https://www.wikidata.org/wiki/Q28502495 , Colegio de la Purisima Concepcion: https://www.wikidata.org/wiki/Q12962932 , Colegio de Minería: https://www.wikidata.org/wiki/Q21281030",S,"empresario: https://www.wikidata.org/wiki/Q43845 , político: https://www.wikidata.org/wiki/Q82955",,Congreso de Diputados,"Diputado en las Cortes de España , secretario de Estado: https://www.wikidata.org/wiki/Q736559 , Secretario de la Junta de Salud Pública , Ministro de Relaciones y Gobernación: https://www.wikidata.org/wiki/Q70828829",Academia de Ciencias de Baviera: https://www.wikidata.org/wiki/Q684415,,"México: https://www.wikidata.org/wiki/Q96 , España: https://www.wikidata.org/wiki/Q29",,,"Perezia alamani, Jatropha alamanii, Colubrina alamanii","Rimo Carlo Felice, Johannes Müller Argoviensis, George Don",,,Fundó el Banco del Avío; Fundó el Archivo General de la Nación; Creación del Museo Nacional Mexicano; Fundó la Compañía Unida de Minas; Proyecto de Integración Pacto de Familia; Fundó varios periòdicos entre ellos El Tiempo y El Universal; Logró la adopción e introducción del Sistema Métrico Decimal,Sentó las bases de un instituto de historia y mejorar la antigua Academia de San Carlos; Propuso el establecimiento de escuelas de arte y agricultura,"Apuntes para el estudio del Tabaquillo, Varias notas botánicas y plantas secas remitidas a Ginebra a De Candolle, como se patentiza en el Produmus, Observaciones sobre el Achiote o Campeche"
Alas Alberto V,,,Alberto Alas,,,,botánica: https://www.wikidata.org/wiki/Q441,,,,,,,,,,,,,,,,,,,,,,,"Descripción y análisis del Tlanchinole o Hanchinol, Heimia syphilitica"
Albarran y Beiza Agustin,,,Agustin Albarrán y Beiza,,botánico: https://www.wikidata.org/wiki/Q2374149,,botánica: https://www.wikidata.org/wiki/Q441,Polylepis australis: https://www.wikidata.org/wiki/Q541294,,,,,,,,,,,,,,,,,,,,,,Apuntes para el estudio del Tabaquillo.
Bartolomé de Alcázar: https://www.wikidata.org/wiki/Q5721444,Bartholomé Alcázar,,Bartolomé de Alcázar: https://www.wikidata.org/wiki/Q5721444,"sacerdote: https://www.wikidata.org/wiki/Q42603 , historiador: https://www.wikidata.org/wiki/Q201788 , matemático: https://www.wikidata.org/wiki/Q170790","profesor universitario: https://www.wikidata.org/wiki/Q1622272 , botánico: https://www.wikidata.org/wiki/Q2374149",,botánica: https://www.wikidata.org/wiki/Q441,,1648,1721,Murcia (Spain : Region): https://viaf.org/viaf/168787556,Madrid (Spain : Region): https://viaf.org/viaf/169605151,,,"sacerdote: https://www.wikidata.org/wiki/Q42603 , profesor universitario: https://www.wikidata.org/wiki/Q1622272",,"Colegio de Oropesa , Colegio Imperial de Madrid: https://www.wikidata.org/wiki/Q578047","Fundador de la Real Academia Española , Rector del colegio de Cuenca",Real Academia Española: https://www.wikidata.org/wiki/Q11993457,Real Academia Española: https://www.wikidata.org/wiki/Q11993457,Europa: https://www.wikidata.org/wiki/Q218640,,,,,,,Fundador de la Real Academia Española,Publicó en las Memorias de Trevoux,Observaciones sobre el Achiote o Campeche
Antonio de Alcedo: https://www.wikidata.org/wiki/Q4777054,,,Antonio de Alcedo: https://www.wikidata.org/wiki/Q4777054,"militar: https://www.wikidata.org/wiki/Q47064 , médico: https://www.wikidata.org/wiki/Q39631","botánico: https://www.wikidata.org/wiki/Q2374149 , geógrafo: https://www.wikidata.org/wiki/Q901402",,botánica: https://www.wikidata.org/wiki/Q441,,1735,1812,Quito: https://viaf.org/viaf/312739660,Madrid (Spain : Region): https://viaf.org/viaf/169605151,"Colegio Imperial de Madrid: https://www.wikidata.org/wiki/Q578047 , Facultad de Medicina de Montpellier: https://www.wikidata.org/wiki/Q3298462",S,médico: https://www.wikidata.org/wiki/Q39631,,Ejército de Tierra de España: https://www.wikidata.org/wiki/Q1322103,,,,,,,,,,,,,"Diccionario geográfico-histórico de las Indias Occidentales o América: es á saber: de los reinos del Peru, Nueva España, Tierra-Firme, Chile, y Nuevo Reyno de Granada. Con la descipción de sus provincias,naciones, ciudades, villas, pueblos, rios,montes, costas, puertos, islas, arzobispados, obispados, audiencias, virreynatos, gobiernos,corregimientos y fortalezas, frutos y producciones: con expresión de sus descubridores, conquistadores y fundadores: conventos y religiones: erección de sus catedralesy obispos que ha habido en ellas: y noticia de los sucesos más notables de varios lugares: incendios, terremotos, sitios, é invasiones que han experimentado: y hombres ilustres que han producido."
Alcocer Gabriel,"Alcocer, Gabriel",,Gabriel Vidal Alcocer,,,,botánica: https://www.wikidata.org/wiki/Q441,,1801,1860,Mexico City (Mexico): https://viaf.org/viaf/316429178,Mexico City (Mexico): https://viaf.org/viaf/316429178,Colegio de San Juan de Letrán de México: https://www.wikidata.org/wiki/Q1108060,S,"educador: https://www.wikidata.org/wiki/Q974144 , benefactor: https://www.wikidata.org/wiki/Q4887411 , filántropo: https://www.wikidata.org/wiki/Q12362622",,,,,,,,,,,,,Logró consolidar la Sociedad de Beneficencia para la Educación y Amparo de la niñez desvalida,,El bosque de Chapultepec: proyecto de un Jardin Botánico
