Autor,Titulo,Año de publicación,Volumen,Pagina-inicio,Pagina-fin,No páginas,No referencias,Referentes,URL,DOI,PDF,Idioma,Tipo de documento,Área temática/campo,Notas,Edición,Tomo,Número,ISBN
"Acosta, Joseph de","Historia natural y moral de las indias en que se tratan las cosas notables del cielo, elementos, metales, plantas y animales de ellas; y los ritos, ceremonias, leyes, gobierno y guerras de los indios",1792,1,1,306,306,,HistoriaNatural; Indias; metales ; plantas ; animales ; ritos ; ceremonias; leyes; gobierno; guerras,https://www.biodiversitylibrary.org/item/82308#page/9/mode/1up,,Sí,Español,Monografia,Ciencias de la vida,,6,1,,
Adams,A short account of the american aloe,,,,,,,Account; American aloe,,,No,Inglés,,Ciencias de la vida,,,,,
"Georg Agardh, Jacob",Nya alger fran Mexico,1847,1,1,13,13,,Alger; México,https://books.google.com.mx/books?id=MTpiNAAACAAJ&dq=Nya+alger+fran+Mexico&hl=es-419&sa=X&ved=2ahUKEwjejLeyz6XsAhXSZs0KHZy3DIcQ6AEwAHoECAEQAQ,,No,,Monografia,Ciencias de la vida,,,,,
"Aiton Townsend, William",Hortus Kewensis or a catalogue of the plants cultivated in the royal botanic garden at kew,1789,1,2,496,496,,Hortus Kewensis; catalog plants; royal botanic garden at kew,https://www.biodiversitylibrary.org/item/23432#page/1/mode/1up,https://doi.org/10.5962/bhl.title.4504,Sí,Inglés,Fuente secundaria de información,Ciencias de la vida,,2,,,
"Albarrán y Beiza, Agustin",Apuntes para el estudio del Tabaquillo.,1890,,1,24,24,,Estudio;Tabaquillo,https://books.google.com.mx/books?id=DcoAoQEACAAJ&dq=Apuntes+para+el+estudio+del+Tabaquillo&hl=es-419&sa=X&ved=2ahUKEwit6sOrv6bsAhVGL6wKHeekBgUQ6AEwAHoECAIQAQ,,No,Español,Monografia,Ciencias de la vida,,,,,
"Alcázar, Bartolomé de",Observaciones sobre el Achiote o Campeche,1704,,,,,,Observaciones; Achiote; Campeche,,,No,Español,,Ciencias de la vida,,,,,
"Alamán y Escalada, Lúcas",Apuntes para el estudio del Tabaquillo,,,,,,,Apuntes; tabaquillo,,,No,Español,,Ciencias de la vida,,,,,
"Alamán y Escalada, Lúcas","Varias notas botánicas y plantas secas remitidas a Ginebra a De Candolle, como se patentiza en el Produmus",,,,,,,Notas botánicas; plantas secas,,,No,Español,,Ciencias de la vida,,,,,
"Alamán y Escalada, Lúcas",Observaciones sobre el Achiote o Campeche,,,,,,,Observaciones; Achiote; Campeche,,,No,Español,,Ciencias de la vida,,,,,
"Alcedo y Bejarano, Antonio","Diccionario geográfico-histórico de las Indias Occidentales o América: es á saber: de los reinos del Peru, Nueva España, Tierra-Firme, Chile, y Nuevo Reyno de Granada. Con la descipción de sus provincias,naciones, ciudades, villas, pueblos, rios,montes, costas, puertos, islas, arzobispados, obispados, audiencias, virreynatos, gobiernos,corregimientos y fortalezas, frutos y producciones: con expresión de sus descubridores, conquistadores y fundadores: conventos y religiones: erección de sus catedralesy obispos que ha habido en ellas: y noticia de los sucesos más notables de varios lugares: incendios, terremotos, sitios, é invasiones que han experimentado: y hombres ilustres que han producido.",1788,,,,,,Diccionario geografico; indias occidentales; América; Nueva España; provincias; ríos; montes,http://cdigital.dgb.uanl.mx/la/1020133454/1020133454_001.pdf,,Sí,Español,Fuente secundaria,Ciencias de la vida,,,3,,
"Alcocer, Gabriel",El bosque de Chapultepec: proyecto de un Jardin Botánico,1886,,318,323,6,,Chapultepec; Jardin botánico; Proyecto,https://www.biodiversitylibrary.org/item/121643#page/343/mode/1up,,Sí,Español,Articulo,Ciencias de la vida,,,7,,
"Alcocer, Pascual",Estudios de algunos principios astringentes vegetales,1876,,1,23,23,,Estudios; astrigentes vegetales,https://books.google.com.mx/books/about/Estudio_de_algunos_principios_astringent.html?id=qffboAEACAAJ&redir_esc=y,,No,Español,Monografia,Ciencias de la vida,,,,,
"Alconedo Rodríguez, Luis","Plantas, estudios y dibujos de ellas que nunca se publicaron",,,,,,,Plantas; estudios; dibujos,,,No,Español,,Ciencias de la vida,,,,,
Aldinus T. y Castelli P.,Hortus Farnesianus,1625,,,,,,Hortus Farnesianus,,,No,Latín,,Ciencias de la vida,,,,,
"Alfaro, Ramón",Del Cihoapatli o Zoapatle,1866,2,47,48,2,,Cihoapatli; Zoapatle,https://babel.hathitrust.org/cgi/pt?id=mdp.39015046999432&view=2up&seq=52,,Si,Español,Articulo,Ciencias de la vida,,,2,3,
"Alas, Alberto V.","Descripción y análisis del Tlanchinole o Hanchinol, Heimia syphilitica",,,,,,,Tlanchinole; Hanchinol,,,No,Español,Articulo,Ciencias de la vida,,,1,9,
"Almodavar Fr, Lúcas",Farmacopea prontuaria,,,,,,,Farmacopea prontuaris,,,No,Español,Monografía,Ciencias de la vida,,,,,
"Altamirano, Manuel",Disertación acerca de los hongos,1839,,375,389,15,,Disertación; Hongos,,,No,Español,Articulo,Ciencias de la vida,1a serie,4,4,,
"Altamirano, Manuel",Cartilla botánica dispuesta por M. Altamirano,,,1,16,16,,Cartilla botánica,,,No,Español,,Ciencias de la vida,,,,,
"Altamirano, Manuel",Algunas nociones de botánica en versos por M. Altamirano,,,,,,,Botánica; versos,,,No,Español,,Ciencias de la vida,,,,,
"Altamirano, Federico",El zoapatle,1871,,212,214,3,,Zoapatle; Sinhuapaste,https://www.biodiversitylibrary.org/item/120585#page/234/mode/1up,,Si,Español,Articulo,Ciencias de la vida,,,2,,
"Altamirano, Fernando",Sobre efectos de Guau,1868,,149,151,3,,Efectos; Guau,,,No,Español,Articulo,Ciencias de la vida,,,1,,
"Altamirano, Fernando",El árbol del Mamey,1874,,138,144,7,,Árbol; Mamey,https://www.biodiversitylibrary.org/item/49853#page/152/mode/1up,,Sí,Español,Articulo,Ciencias de la vida,,,3,,
